"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"How Did It End?","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",21,"spotify:track:5Bedn0svl0ZD7RGmJkmKKw",0.785,0.492,0.379,0.00093,0.108,-8.859,0.0257,83.993,0.273,80,3.97843333333333
"So High School","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",22,"spotify:track:7Mts0OfPorF4iwOomvfqn1",0.0274,0.366,0.866,3.07e-06,0.106,-4.514,0.0466,176.07,0.293,82,3.81333333333333
"I Hate It Here","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",23,"spotify:track:3hlGuz3loYoLfI3bpwieWq",0.717,0.485,0.562,0,0.357,-7.197,0.0346,105.953,0.297,78,4.06458333333333
"thanK you aIMee","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",24,"spotify:track:7ogK4lJDVDMU6A6vYR5rvD",0.609,0.609,0.541,0,0.122,-8.013,0.0346,95.997,0.252,76,4.39695
"I Look in People's Windows","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",25,"spotify:track:1Zai5UJ2di3qEuR2HeT2s8",0.69,0.763,0.274,0,0.164,-11.429,0.0738,90.796,0.385,76,2.19845
"The Prophecy","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",26,"spotify:track:18WFFUIsewmA8g31KAeo3e",0.825,0.421,0.525,2.67e-06,0.308,-10.359,0.0472,167.927,0.535,81,4.16345
"Cassandra","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",27,"spotify:track:0g4fMVo4JjwnIpTfFfLdxS",0.806,0.587,0.587,0,0.137,-9.879,0.0595,139.963,0.514,76,4.00341666666667
"Peter","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",28,"spotify:track:3zMDGj4D8ogaYgAIZPeU7S",0.805,0.342,0.376,0,0.0593,-8.212,0.0372,176.859,0.29,77,4.73261666666667
"The Bolter","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",29,"spotify:track:2913xXOVAIDAqxzV2g4VcU",0.638,0.455,0.586,0,0.131,-7.978,0.0492,183.694,0.481,77,3.97068333333333
"Robin","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",30,"spotify:track:2CnjDMdpRjlWv04Xk3s6MW",0.791,0.476,0.386,0.000423,0.1,-10.601,0.03,138.265,0.158,73,4.01488333333333
"The Manuscript","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","2024-04-19",31,"spotify:track:1DTRUYVd8rYpla9hhVVwjo",0.901,0.509,0.256,2.43e-06,0.103,-11.665,0.0306,94.184,0.436,74,3.74571666666667
