state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Idaho,2019,4,74,21.75,122873.25
Idaho,2019,5,88,7.75,86368.75
Idaho,2019,6,70,8.0,92193.0
Idaho,2019,7,132,20.75,208561.0
Idaho,2019,8,69,9.25,148264.5
Idaho,2019,9,98,23.5,128784.0
Idaho,2019,10,76,16.0,229603.5
Idaho,2019,11,47,41.25,170862.5
Idaho,2019,12,54,10.75,72575.5
Illinois,2019,0,4354,54.25,8429399.25
Illinois,2019,1,271,20.0,416133.25
Illinois,2019,2,449,48.0,1203565.0
Illinois,2019,3,319,15.5,379570.5
Illinois,2019,4,325,16.75,373598.0
Illinois,2019,5,435,29.5,845921.0
Illinois,2019,6,479,54.25,1936694.25
Illinois,2019,7,449,31.0,773266.5
Illinois,2019,8,357,15.5,654207.0
Illinois,2019,9,366,25.5,646477.75
Illinois,2019,10,337,23.75,491141.0
Illinois,2019,11,323,33.0,506505.5
Illinois,2019,12,244,9.5,202319.5
Indiana,2019,0,2830,62.75,8114755.75
Indiana,2019,1,228,21.0,438024.5
Indiana,2019,2,253,55.75,949601.0
Indiana,2019,3,245,28.75,589883.5
Indiana,2019,4,226,14.25,303350.5
Indiana,2019,5,310,60.25,1848037.25
Indiana,2019,6,353,48.0,1057732.75
Indiana,2019,7,256,30.0,555913.25
Indiana,2019,8,245,32.0,732585.5
Indiana,2019,9,174,62.75,550979.75
Indiana,2019,10,200,40.25,449842.0
Indiana,2019,11,222,28.5,485912.0
Indiana,2019,12,118,10.5,152893.75
Iowa,2019,0,1641,70.75,2373650.25
Iowa,2019,1,85,14.0,83746.25
Iowa,2019,2,146,28.75,175505.0
Iowa,2019,3,101,17.0,150454.75
Iowa,2019,4,148,70.75,420783.0
Iowa,2019,5,184,11.25,259707.0
Iowa,2019,6,195,26.75,348803.25
Iowa,2019,7,141,11.75,140239.5
Iowa,2019,8,167,16.5,223439.75
Iowa,2019,9,166,20.0,292244.0
Iowa,2019,10,155,8.0,134081.0
Iowa,2019,11,98,7.5,100588.25
Iowa,2019,12,55,4.0,44058.5
Kansas,2019,0,1382,104.25,3482492.0
Kansas,2019,1,76,104.25,1532966.0
Kansas,2019,2,47,5.0,24455.0
Kansas,2019,3,106,11.5,92201.5
Kansas,2019,4,80,7.25,68014.25
Kansas,2019,5,243,52.25,496223.75
Kansas,2019,6,162,39.0,415906.25
Kansas,2019,7,125,11.0,151374.5
Kansas,2019,8,257,22.5,459991.0
Kansas,2019,9,82,12.0,47933.0
Kansas,2019,10,75,9.0,69083.5
Kansas,2019,11,59,12.75,53743.25
Kansas,2019,12,70,5.0,70600.0
Kentucky,2019,0,3521,55.0,5346376.0
Kentucky,2019,1,189,18.25,192243.25
Kentucky,2019,2,209,39.0,348183.5
Kentucky,2019,3,292,35.75,607835.0
Kentucky,2019,4,233,16.75,210017.75
Kentucky,2019,5,314,27.75,385396.75
Kentucky,2019,6,501,43.0,1205338.5
Kentucky,2019,7,469,41.5,579947.25
Kentucky,2019,8,304,24.25,429365.75
Kentucky,2019,9,262,11.0,334786.75
Kentucky,2019,10,313,55.0,561505.5
Kentucky,2019,11,233,16.0,260762.25
Kentucky,2019,12,202,25.75,230993.75
Louisiana,2019,0,4999,212.25,19987901.0
Louisiana,2019,1,217,19.75,354312.75
Louisiana,2019,2,201,15.0,210286.5
Louisiana,2019,3,211,212.25,259150.0
Louisiana,2019,4,604,41.0,1630765.75
Louisiana,2019,5,542,98.25,2152250.75
Louisiana,2019,6,639,88.0,2724346.25
Louisiana,2019,7,766,121.75,7276965.5
Louisiana,2019,8,439,19.0,516576.5
Louisiana,2019,9,404,22.25,524965.25
Louisiana,2019,10,487,68.0,3441669.0
Louisiana,2019,11,315,10.5,401460.75
Louisiana,2019,12,174,57.0,495152.0
Maine,2019,0,962,78.5,4590967.75
Maine,2019,1,71,32.5,375637.25
Maine,2019,2,109,23.75,297298.5
Maine,2019,3,83,6.0,112930.75
Maine,2019,4,146,24.0,282299.25
Maine,2019,5,89,8.25,169032.75
Maine,2019,6,142,11.25,251449.0
Maine,2019,7,43,15.75,70024.5
Maine,2019,8,30,8.25,92203.75
Maine,2019,9,26,8.0,39580.25
Maine,2019,10,26,78.5,848266.0
Maine,2019,11,89,66.25,1866793.5
Maine,2019,12,108,21.75,185452.25
Maryland,2019,0,4655,90.0,5388695.875
Maryland,2019,1,254,34.5,240510.5
Maryland,2019,2,454,77.75,754591.75
Maryland,2019,3,166,13.5,154525.75
Maryland,2019,4,339,19.0,308418.75
Maryland,2019,5,500,27.0,712826.75
Maryland,2019,6,609,20.75,410549.0
Maryland,2019,7,872,21.25,1089801.0
Maryland,2019,8,530,15.5,444574.125
Maryland,2019,9,154,9.25,129542.5
Maryland,2019,10,269,14.25,230720.75
Maryland,2019,11,401,41.75,511202.5
Maryland,2019,12,107,90.0,401432.5
Massachusetts,2019,0,1712,98.5,9167608.5
Massachusetts,2019,1,169,25.75,309581.75
Massachusetts,2019,2,187,53.75,1294433.0
Massachusetts,2019,3,186,21.75,286591.0
Massachusetts,2019,4,105,16.25,171012.5
Massachusetts,2019,5,81,16.75,118277.25
Massachusetts,2019,6,88,12.0,130327.0
Massachusetts,2019,7,50,10.75,63823.75
Massachusetts,2019,8,90,15.5,193247.0
Massachusetts,2019,9,104,29.5,163652.75
Massachusetts,2019,10,259,98.5,5759741.0
Massachusetts,2019,11,183,37.25,428455.25
Massachusetts,2019,12,210,12.5,248466.25
Michigan,2019,0,6203,134.5,57765713.5
Michigan,2019,1,264,19.25,617324.5
Michigan,2019,2,496,134.5,12098307.0
Michigan,2019,3,406,51.75,912772.0
Michigan,2019,4,503,25.25,1176472.0
Michigan,2019,5,484,34.5,1270695.75
Michigan,2019,6,612,32.75,1811925.0
Michigan,2019,7,781,77.0,28617170.5
Michigan,2019,8,581,29.75,1882887.5
Michigan,2019,9,569,71.5,2999247.75
Michigan,2019,10,728,28.0,1822134.75
Michigan,2019,11,494,57.75,2349208.75
Michigan,2019,12,285,68.0,2207568.0
Minnesota,2019,0,1603,102.75,3518161.5
Minnesota,2019,1,95,9.5,153651.0
Minnesota,2019,2,58,9.25,76548.5
Minnesota,2019,3,103,8.5,148277.25
Minnesota,2019,4,150,102.75,880980.25
Minnesota,2019,5,126,22.0,204320.0
Minnesota,2019,6,170,12.75,236658.75
Minnesota,2019,7,218,25.75,680538.0
Minnesota,2019,8,175,10.5,194340.25
Minnesota,2019,9,183,18.25,466000.25
Minnesota,2019,10,164,15.0,209192.0
Minnesota,2019,11,97,22.5,147151.5
Minnesota,2019,12,64,12.0,120503.75
Mississippi,2019,0,2641,75.75,6327487.75
Mississippi,2019,1,131,29.5,161901.75
Mississippi,2019,2,117,8.5,106208.75
Mississippi,2019,3,133,14.25,145333.25
Mississippi,2019,4,326,75.75,1712245.75
Mississippi,2019,5,253,59.0,586401.0
Mississippi,2019,6,331,53.5,817589.75
Mississippi,2019,7,334,31.75,448477.0
Mississippi,2019,8,219,12.0,262121.5
Mississippi,2019,9,148,10.25,126277.75
Mississippi,2019,10,332,56.5,1316164.25
Mississippi,2019,11,156,18.75,181040.75
Mississippi,2019,12,161,32.75,463726.25
Missouri,2019,0,3878,119.25,9085503.5
Missouri,2019,1,188,119.25,3366579.5
Missouri,2019,2,249,15.25,227882.75
Missouri,2019,3,311,16.25,270137.0
Missouri,2019,4,444,39.25,583899.25
Missouri,2019,5,556,65.25,963755.25
