state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Illinois,2018,12,254,44.75,328950.25
Indiana,2018,0,2875,372.5,10330140.0
Indiana,2018,1,228,17.75,367556.5
Indiana,2018,2,175,33.0,299773.5
Indiana,2018,3,129,13.5,230968.25
Indiana,2018,4,179,19.0,324024.0
Indiana,2018,5,294,46.75,981229.75
Indiana,2018,6,390,143.75,773363.5
Indiana,2018,7,290,166.5,1347659.75
Indiana,2018,8,273,372.5,1177756.75
Indiana,2018,9,242,45.5,657917.25
Indiana,2018,10,285,73.0,1827888.25
Indiana,2018,11,229,84.0,2120005.5
Indiana,2018,12,161,13.0,221997.0
Iowa,2018,0,1405,78.25,2475021.5
Iowa,2018,1,101,6.25,111201.25
Iowa,2018,2,43,5.0,36632.5
Iowa,2018,3,111,27.25,188118.0
Iowa,2018,4,118,24.75,185486.5
Iowa,2018,5,129,33.5,208985.5
Iowa,2018,6,258,29.25,393291.25
Iowa,2018,7,144,78.25,756754.25
Iowa,2018,8,165,18.0,263816.0
Iowa,2018,9,132,10.5,142912.25
Iowa,2018,10,101,9.5,101129.0
Iowa,2018,11,59,19.5,45209.0
Iowa,2018,12,44,4.5,41486.0
Kansas,2018,0,1547,60.75,3468708.75
Kansas,2018,1,89,9.0,98459.25
Kansas,2018,2,89,9.0,119516.5
Kansas,2018,3,113,4.5,85665.25
Kansas,2018,4,98,10.75,109284.75
Kansas,2018,5,157,22.5,227354.0
Kansas,2018,6,218,60.75,1374995.0
Kansas,2018,7,173,14.5,334726.5
Kansas,2018,8,183,28.0,415146.75
Kansas,2018,9,82,10.5,87600.75
Kansas,2018,10,150,15.75,175002.0
Kansas,2018,11,146,25.5,372043.25
Kansas,2018,12,49,7.25,68914.75
Kentucky,2018,0,2884,273.25,11104076.75
Kentucky,2018,1,219,7.75,201529.25
Kentucky,2018,2,152,273.25,472827.5
Kentucky,2018,3,190,84.5,575055.25
Kentucky,2018,4,189,45.5,420881.0
Kentucky,2018,5,315,45.25,763312.25
Kentucky,2018,6,418,33.5,852145.25
Kentucky,2018,7,338,57.25,3789178.75
Kentucky,2018,8,226,21.0,236631.0
Kentucky,2018,9,246,25.75,274712.75
Kentucky,2018,10,192,18.0,387806.0
Kentucky,2018,11,235,86.25,2920107.0
Kentucky,2018,12,164,26.5,209890.75
Louisiana,2018,0,4940,250.75,9151966.75
Louisiana,2018,1,524,17.0,913023.5
Louisiana,2018,2,236,11.5,297966.0
Louisiana,2018,3,287,250.75,671378.25
Louisiana,2018,4,382,79.75,1579368.0
Louisiana,2018,5,430,23.0,516605.5
